logs__queries__correct,logs__queries__error,logs__users,logs__timestamp,dia,mes,aux,año,time,hora,min
576,6,582,3/8/18 22:15,3,8,18 22:15,18,22:15,22,15
549,4,553,3/8/18 22:30,3,8,18 22:30,18,22:30,22,30
531,3,531,3/8/18 22:45,3,8,18 22:45,18,22:45,22,45
467,7,474,3/8/18 23:00,3,8,18 23:00,18,23:00,23,0
539,8,547,3/8/18 23:15,3,8,18 23:15,18,23:15,23,15
476,3,479,3/8/18 23:30,3,8,18 23:30,18,23:30,23,30
467,4,471,3/8/18 23:45,3,8,18 23:45,18,23:45,23,45
498,2,500,4/8/18 0:00,4,8,18 0:00,18,0:00,0,0
454,4,458,4/8/18 0:15,4,8,18 0:15,18,0:15,0,15
377,2,373,4/8/18 0:30,4,8,18 0:30,18,0:30,0,30
304,1,305,4/8/18 0:45,4,8,18 0:45,18,0:45,0,45
282,3,285,4/8/18 1:00,4,8,18 1:00,18,1:00,1,0
292,4,296,4/8/18 1:15,4,8,18 1:15,18,1:15,1,15
301,5,306,4/8/18 1:30,4,8,18 1:30,18,1:30,1,30
259,5,264,4/8/18 1:45,4,8,18 1:45,18,1:45,1,45
277,4,281,4/8/18 2:00,4,8,18 2:00,18,2:00,2,0
294,8,302,4/8/18 2:15,4,8,18 2:15,18,2:15,2,15
280,3,283,4/8/18 2:30,4,8,18 2:30,18,2:30,2,30
296,2,298,4/8/18 2:45,4,8,18 2:45,18,2:45,2,45
283,4,287,4/8/18 3:00,4,8,18 3:00,18,3:00,3,0
270,7,277,4/8/18 3:15,4,8,18 3:15,18,3:15,3,15
236,6,242,4/8/18 3:30,4,8,18 3:30,18,3:30,3,30
200,2,202,4/8/18 3:45,4,8,18 3:45,18,3:45,3,45
179,0,179,4/8/18 4:00,4,8,18 4:00,18,4:00,4,0
153,0,153,4/8/18 4:15,4,8,18 4:15,18,4:15,4,15
149,1,150,4/8/18 4:30,4,8,18 4:30,18,4:30,4,30
118,0,118,4/8/18 4:45,4,8,18 4:45,18,4:45,4,45
140,1,141,4/8/18 5:00,4,8,18 5:00,18,5:00,5,0
120,1,121,4/8/18 5:15,4,8,18 5:15,18,5:15,5,15
115,0,115,4/8/18 5:30,4,8,18 5:30,18,5:30,5,30
95,0,95,4/8/18 5:45,4,8,18 5:45,18,5:45,5,45
60,0,60,4/8/18 6:00,4,8,18 6:00,18,6:00,6,0
68,0,68,4/8/18 6:15,4,8,18 6:15,18,6:15,6,15
78,0,72,4/8/18 6:34,4,8,18 6:34,18,6:34,6,34
56,0,56,4/8/18 6:45,4,8,18 6:45,18,6:45,6,45
73,0,65,4/8/18 7:00,4,8,18 7:00,18,7:00,7,0
75,0,75,4/8/18 7:15,4,8,18 7:15,18,7:15,7,15
77,0,77,4/8/18 7:30,4,8,18 7:30,18,7:30,7,30
86,0,86,4/8/18 7:45,4,8,18 7:45,18,7:45,7,45
80,2,82,4/8/18 8:00,4,8,18 8:00,18,8:00,8,0
81,1,82,4/8/18 8:15,4,8,18 8:15,18,8:15,8,15
106,1,107,4/8/18 8:30,4,8,18 8:30,18,8:30,8,30
139,0,139,4/8/18 8:45,4,8,18 8:45,18,8:45,8,45
89,0,89,4/8/18 9:00,4,8,18 9:00,18,9:00,9,0
91,1,92,4/8/18 9:15,4,8,18 9:15,18,9:15,9,15
110,1,111,4/8/18 9:30,4,8,18 9:30,18,9:30,9,30
139,0,139,4/8/18 9:45,4,8,18 9:45,18,9:45,9,45
97,0,97,4/8/18 10:00,4,8,18 10:00,18,10:00,10,0
130,0,130,4/8/18 10:15,4,8,18 10:15,18,10:15,10,15
149,1,150,4/8/18 10:30,4,8,18 10:30,18,10:30,10,30
233,0,226,4/8/18 10:45,4,8,18 10:45,18,10:45,10,45
185,1,186,4/8/18 11:00,4,8,18 11:00,18,11:00,11,0
201,1,202,4/8/18 11:15,4,8,18 11:15,18,11:15,11,15
217,3,220,4/8/18 11:30,4,8,18 11:30,18,11:30,11,30
244,2,246,4/8/18 11:45,4,8,18 11:45,18,11:45,11,45
209,2,211,4/8/18 12:00,4,8,18 12:00,18,12:00,12,0
242,1,243,4/8/18 12:15,4,8,18 12:15,18,12:15,12,15
260,2,262,4/8/18 12:30,4,8,18 12:30,18,12:30,12,30
274,2,276,4/8/18 12:45,4,8,18 12:45,18,12:45,12,45
256,3,259,4/8/18 13:00,4,8,18 13:00,18,13:00,13,0
261,1,262,4/8/18 13:15,4,8,18 13:15,18,13:15,13,15
294,2,296,4/8/18 13:30,4,8,18 13:30,18,13:30,13,30
298,4,302,4/8/18 13:45,4,8,18 13:45,18,13:45,13,45
283,2,285,4/8/18 14:00,4,8,18 14:00,18,14:00,14,0
304,0,304,4/8/18 14:15,4,8,18 14:15,18,14:15,14,15
269,2,271,4/8/18 14:30,4,8,18 14:30,18,14:30,14,30
291,4,295,4/8/18 14:45,4,8,18 14:45,18,14:45,14,45
265,1,266,4/8/18 15:00,4,8,18 15:00,18,15:00,15,0
277,1,278,4/8/18 15:15,4,8,18 15:15,18,15:15,15,15
295,2,297,4/8/18 15:30,4,8,18 15:30,18,15:30,15,30
285,4,289,4/8/18 15:45,4,8,18 15:45,18,15:45,15,45
268,4,272,4/8/18 16:00,4,8,18 16:00,18,16:00,16,0
249,3,252,4/8/18 16:15,4,8,18 16:15,18,16:15,16,15
255,3,258,4/8/18 16:30,4,8,18 16:30,18,16:30,16,30
290,5,295,4/8/18 16:45,4,8,18 16:45,18,16:45,16,45
260,2,259,4/8/18 17:00,4,8,18 17:00,18,17:00,17,0
254,3,251,4/8/18 17:15,4,8,18 17:15,18,17:15,17,15
276,2,278,4/8/18 17:30,4,8,18 17:30,18,17:30,17,30
